City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,talnakh,69.4865,88.3972,-25.8,85,99,3.38,RU,1701735477
126,petropavlovsk-kamchatsky,53.0452,158.6483,23.59,81,100,8.01,RU,1701735487
127,margaret river,-33.95,115.0667,62.87,62,100,5.73,AU,1701735426
128,aoulef,26.9667,1.0833,58.53,27,3,9.71,DZ,1701735704
129,yaren,-0.5472,166.916,83.07,76,98,11.48,NR,1701735705
130,arteche,12.2645,125.4048,80.94,88,70,7.31,PH,1701735705
131,whitehorse,60.7161,-135.0538,18.37,92,100,0.0,CA,1701735452
132,sitka,57.0531,-135.33,48.09,61,75,21.85,US,1701735473
133,klyuchi,52.2667,79.1667,21.15,86,100,14.14,RU,1701735567
134,lawas,13.764,121.0566,80.98,81,96,5.32,PH,1701735706
135,murzuq,25.9155,13.9184,56.71,57,0,7.81,LY,1701735581
136,touros,-5.1989,-35.4608,79.88,81,51,12.57,BR,1701735582
137,agua dulce,18.1333,-94.1333,74.98,86,59,14.52,MX,1701735706
138,fuente obejuna,38.2667,-5.4167,45.72,92,100,1.74,ES,1701735707
139,cienega de flores,25.95,-100.1833,68.52,63,40,2.3,MX,1701735664
140,ballito,-29.539,31.2144,68.14,94,75,12.66,ZA,1701735628
141,chinchilla,-26.75,150.6333,82.72,52,7,7.11,AU,1701735708
142,dalandzadgad,43.5708,104.425,26.83,48,95,22.5,MN,1701735708
143,kirakira,-10.4544,161.9205,79.3,90,100,8.52,SB,1701735708
144,nemuro,43.3236,145.575,43.7,82,3,18.3,JP,1701735418
145,goundi,9.3627,17.366,77.85,40,83,1.95,TD,1701735709
146,santa cruz,-17.8,-63.1667,76.46,83,75,4.61,BO,1701735304
147,menaka,15.9182,2.4022,76.87,15,42,8.86,ML,1701735709
148,coquimbo,-29.9533,-71.3436,58.73,82,75,8.05,CL,1701735516
149,capitao poco,-1.7464,-47.0594,74.66,93,89,1.61,BR,1701735709
150,nar'yan-mar,67.6713,53.087,-14.89,93,18,8.99,RU,1701735442
151,kelo,9.3086,15.8066,77.5,23,63,2.68,TD,1701735710
152,choibalsan,48.0667,114.5,24.93,70,91,20.78,MN,1701735710
153,sogndal,61.2283,7.1003,17.98,85,100,0.0,NO,1701735710
154,enshi,30.3,109.4833,47.91,94,69,0.49,CN,1701735710
155,iron mountain,45.8202,-88.066,30.13,75,0,0.0,US,1701735641
156,santa terezinha,-29.9002,-50.0904,66.99,84,100,13.04,BR,1701735492
157,grajau,-5.8194,-46.1386,74.91,85,89,2.8,BR,1701735711
158,glendive,47.1053,-104.7125,31.69,80,0,9.22,US,1701735711
159,port elizabeth,-33.918,25.5701,62.1,80,0,8.05,ZA,1701735478
160,hasaki,35.7333,140.8333,41.4,54,100,10.76,JP,1701735467
161,taro,-8.3862,115.28,73.4,90,100,2.77,ID,1701735712
162,tamanrasset,22.785,5.5228,55.31,18,0,6.91,DZ,1701735568
163,kyela,-9.5833,33.85,73.54,84,99,2.17,TZ,1701735712
164,khilok,51.3674,110.4676,17.6,81,100,17.4,RU,1701735712
165,zaozersk,69.4005,32.4476,10.69,97,93,2.35,RU,1701735714
166,tsiombe,-25.3,45.4833,69.35,86,3,9.93,MG,1701735580
167,novo aripuana,-5.1206,-60.3797,77.07,80,96,2.06,BR,1701735714
168,villa gesell,-37.2639,-56.973,58.05,63,4,12.41,AR,1701735714
169,east london,-33.0153,27.9116,62.56,78,5,10.78,ZA,1701735417
170,tura,25.5198,90.2201,65.37,67,96,2.89,IN,1701735462
171,tres lagoas,-20.7511,-51.6783,77.05,77,100,3.51,BR,1701735715
172,aasiaat,68.7098,-52.8699,7.84,90,95,5.99,GL,1701735459
173,anshun,26.25,105.9333,48.85,85,100,2.98,CN,1701735715
174,east ballina,-28.8667,153.5833,79.81,64,13,7.56,AU,1701735715
175,cidreira,-30.1811,-50.2056,67.39,79,100,14.81,BR,1701735440
176,nyagan,62.1406,65.3936,-2.96,97,100,8.93,RU,1701735716
177,semnan,35.5729,53.3971,45.23,32,0,1.41,IR,1701735716
178,port lincoln,-34.7333,135.8667,71.29,59,100,6.8,AU,1701735499
179,ola,59.5833,151.2833,-14.91,90,62,7.49,RU,1701735535
180,jatoi shimali,29.5165,70.8503,60.64,34,0,2.82,PK,1701735716
181,christchurch,-43.5333,172.6333,62.55,67,100,21.85,NZ,1701735321
182,santa elena de uairen,4.6167,-61.1333,76.24,52,80,5.53,VE,1701735717
183,aitape,-3.1374,142.3475,78.04,88,100,5.1,PG,1701735717
184,salalah,17.0151,54.0924,73.44,61,30,5.77,OM,1701735717
185,tot'ma,59.9747,42.7642,8.08,97,100,2.53,RU,1701735717
186,richmond,37.5538,-77.4603,48.65,73,0,0.0,US,1701735472
187,iskateley,67.6803,53.1512,-14.98,93,17,8.99,RU,1701735422
188,kainantu,-6.2887,145.8655,76.12,54,74,2.55,PG,1701735718
189,ushuaia,-54.8,-68.3,55.06,58,75,11.5,AR,1701735420
190,veraval,20.9,70.3667,72.99,60,14,15.26,IN,1701735718
191,moapa valley,36.5805,-114.4703,67.68,39,33,1.9,US,1701735428
192,tidjikja,18.5564,-11.4271,72.82,19,8,10.67,MR,1701735719
193,lubango,-14.9172,13.4925,60.28,94,97,1.81,AO,1701735719
194,kourou,5.1552,-52.6478,80.65,87,12,7.02,GF,1701735719
195,ibiza,38.9088,1.433,60.22,69,0,13.8,ES,1701735719
196,mil'kovo,55.6078,37.7956,10.89,97,43,4.38,RU,1701735720
197,puerto francisco de orellana,-0.4667,-76.9667,76.53,79,25,1.16,EC,1701735720
198,queenstown,-31.8976,26.8753,55.69,84,100,6.44,ZA,1701735720
199,lompoc,34.6391,-120.4579,72.01,50,0,5.75,US,1701735424
200,colonia menno,-22.3667,-59.8167,66.29,85,100,11.14,PY,1701735721
201,limulunga,-15.0969,23.1376,69.69,77,35,5.97,ZM,1701735721
202,aljezur,37.3191,-8.8033,54.84,82,100,5.95,PT,1701735485
203,puerto lempira,15.2667,-83.7667,78.08,89,17,9.17,HN,1701735721
204,chegdomyn,51.1167,133.0167,5.23,92,99,0.45,RU,1701735721
205,fisterra,42.9049,-9.2629,43.75,62,44,5.53,ES,1701735455
206,lagoa,39.05,-27.9833,62.28,72,88,20.51,PT,1701735722
207,g'uzor,38.6214,66.2522,42.84,31,3,5.3,UZ,1701735722
208,cape canaveral,28.4058,-80.6048,77.07,73,0,10.36,US,1701735723
209,coahuayana de hidalgo,18.7,-103.6583,78.71,69,100,4.54,MX,1701735723
210,qaqortoq,60.7167,-46.0333,21.34,70,100,9.91,GL,1701735457
211,crane,31.3974,-102.3501,59.11,28,0,9.06,US,1701735724
212,howard springs,-12.497,131.047,90.99,79,85,1.45,AU,1701735725
213,al-hamdaniya,36.2715,43.3737,55.42,44,8,3.71,IQ,1701735725
214,broome,42.2506,-75.833,40.55,87,100,8.05,US,1701735434
215,hamilton,39.1834,-84.5333,42.24,84,40,4.61,US,1701735386
216,yamba,-5.9,22.3,69.01,100,100,1.92,CD,1701735726
217,kone,-21.0595,164.8658,90.09,47,100,2.71,NC,1701735490
218,cavalaire-sur-mer,43.174,6.5272,46.74,86,100,4.81,FR,1701735727
219,wenchang,30.904,118.4887,46.81,60,0,4.63,CN,1701735579
220,theunissen,-28.411,26.7011,65.14,45,32,1.39,ZA,1701735728
221,hegang,47.4,130.3667,3.61,95,18,0.72,CN,1701735728
222,island harbour,50.724,-1.2758,44.22,94,100,4.0,GB,1701735728
223,haiku-pauwela,20.9219,-156.3051,81.18,67,20,20.71,US,1701735518
224,dryden,49.7833,-92.7503,28.69,86,100,0.0,CA,1701735523
225,pasuquin,18.3328,120.6177,80.55,89,40,4.61,PH,1701735729
